 ◦ 2021년 학교안전사고 발생현황(시간),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,등하교,,특별활동,,기타,,학교행사,,기숙사생활,,석식시간,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
전남,중,420,42.90%,182,18.60%,74,7.60%,132,13.50%,24,2.50%,69,7.00%,27,2.80%,43,4.40%,7,0.70%,1,0.10%,979,100.00%
전남,고,205,35.30%,88,15.20%,69,11.90%,58,10.00%,21,3.60%,30,5.20%,17,2.90%,48,8.30%,21,3.60%,23,4.00%,580,100.00%
전남,특수,2,22.20%,1,11.10%,5,55.60%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,11.10%,  ,0.00%,9,100.00%
전남,기타,1,16.70%,  ,0.00%,  ,0.00%,1,16.70%,  ,0.00%,2,33.30%,  ,0.00%,  ,0.00%,1,16.70%,1,16.70%,6,100.00%
전남,소계,969,34.70%,491,17.60%,431,15.40%,402,14.40%,104,3.70%,122,4.40%,92,3.30%,127,4.50%,30,1.10%,25,0.90%,"2,793",100.00%
경북,유,35,7.50%,42,9.00%,209,44.80%,33,7.10%,38,8.10%,  ,0.00%,88,18.80%,22,4.70%,  ,0.00%,  ,0.00%,467,100.00%
경북,초,531,32.70%,297,18.30%,266,16.40%,227,14.00%,116,7.10%,39,2.40%,72,4.40%,78,4.80%,  ,0.00%,  ,0.00%,"1,626",100.00%
경북,중,766,49.50%,243,15.70%,114,7.40%,185,11.90%,46,3.00%,109,7.00%,23,1.50%,62,4.00%,  ,0.00%,1,0.10%,"1,549",100.00%
경북,고,350,32.10%,171,15.70%,152,14.00%,109,10.00%,47,4.30%,63,5.80%,21,1.90%,69,6.30%,63,5.80%,44,4.00%,"1,089",100.00%
경북,특수,3,14.30%,  ,0.00%,5,23.80%,6,28.60%,3,14.30%,1,4.80%,2,9.50%,  ,0.00%,1,4.80%,  ,0.00%,21,100.00%
경북,기타,11,31.40%,3,8.60%,2,5.70%,7,20.00%,1,2.90%,5,14.30%,  ,0.00%,2,5.70%,3,8.60%,1,2.90%,35,100.00%
경북,소계,"1,696",35.40%,756,15.80%,748,15.60%,567,11.80%,251,5.20%,217,4.50%,206,4.30%,233,4.90%,67,1.40%,46,1.00%,"4,787",100.00%
경남,유,79,11.20%,58,8.20%,306,43.30%,63,8.90%,40,5.70%,  ,0.00%,148,20.90%,13,1.80%,  ,0.00%,  ,0.00%,707,100.00%
경남,초,744,33.20%,449,20.00%,365,16.30%,267,11.90%,251,11.20%,53,2.40%,72,3.20%,41,1.80%,  ,0.00%,  ,0.00%,"2,242",100.00%
경남,중,"1,126",48.00%,439,18.70%,161,6.90%,272,11.60%,74,3.20%,130,5.50%,53,2.30%,84,3.60%,3,0.10%,3,0.10%,"2,345",100.00%
경남,고,480,39.10%,203,16.50%,137,11.20%,136,11.10%,67,5.50%,49,4.00%,16,1.30%,66,5.40%,34,2.80%,39,3.20%,"1,227",100.00%
경남,특수,2,10.50%,2,10.50%,8,42.10%,3,15.80%,2,10.50%,  ,0.00%,2,10.50%,  ,0.00%,  ,0.00%,  ,0.00%,19,100.00%
경남,기타,8,36.40%,3,13.60%,2,9.10%,4,18.20%,1,4.50%,  ,0.00%,1,4.50%,  ,0.00%,3,13.60%,  ,0.00%,22,100.00%
경남,소계,"2,439",37.20%,"1,154",17.60%,979,14.90%,745,11.40%,435,6.60%,232,3.50%,292,4.40%,204,3.10%,40,0.60%,42,0.60%,"6,562",100.00%
제주,유,8,7.30%,11,10.00%,63,57.30%,1,0.90%,2,1.80%,  ,0.00%,23,20.90%,2,1.80%,  ,0.00%,  ,0.00%,110,100.00%
제주,초,339,35.40%,214,22.40%,117,12.20%,134,14.00%,57,6.00%,22,2.30%,56,5.90%,18,1.90%,  ,0.00%,  ,0.00%,957,100.00%
제주,중,388,53.60%,127,17.50%,43,5.90%,62,8.60%,12,1.70%,35,4.80%,21,2.90%,36,5.00%,  ,0.00%,  ,0.00%,724,100.00%
제주,고,157,43.40%,58,16.00%,28,7.70%,31,8.60%,12,3.30%,18,5.00%,16,4.40%,32,8.80%,3,0.80%,7,1.90%,362,100.00%
제주,특수,2,20.00%,3,30.00%,4,40.00%,1,10.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,10,100.00%
제주,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
제주,소계,894,41.30%,413,19.10%,255,11.80%,229,10.60%,83,3.80%,75,3.50%,116,5.40%,88,4.10%,3,0.10%,7,0.30%,"2,163",100.00%
